home_listing,adr_ticker,event_datetime_et,eps_estimate,eps_actual,surprise_pct
ULVR.L,UL,2004-02-12 02:00:00,0.34,0.45,32.34
ULVR.L,UL,2003-10-29 02:00:00,0.4,0.48,20.44
ULVR.L,UL,2003-07-30 02:00:00,0.29,0.39,32.22
ULVR.L,UL,2003-05-02 02:00:00,0.3,0.28,-6.81
ULVR.L,UL,2003-02-13 02:00:00,0.32,0.39,23.67
ULVR.L,UL,2002-10-30 02:00:00,0.39,0.42,8.21
ULVR.L,UL,2002-07-31 00:00:00,0.33,0.37,12.43
SIE.DE,SIEGY,2026-08-06 16:00:00,1.36,nan,nan
SIE.DE,SIEGY,2026-05-12 20:00:00,1.49,1.65,10.66
SIE.DE,SIEGY,2026-02-12 01:00:00,1.19,1.66,39.5
SIE.DE,SIEGY,2025-11-12 21:00:00,1.42,1.34,-5.41
SIE.DE,SIEGY,2025-08-07 01:00:00,1.28,1.62,26.14
SIE.DE,SIEGY,2025-05-15 01:00:00,1.4,1.68,20.03
SIE.DE,SIEGY,2025-02-13 03:00:00,2.24,2.54,13.44
SIE.DE,SIEGY,2024-11-13 19:00:00,1.19,1.38,15.65
SIE.DE,SIEGY,2024-08-08 00:00:00,1.09,1.57,43.65
SIE.DE,SIEGY,2024-05-16 01:00:00,1.12,1.35,20.49
SIE.DE,SIEGY,2024-02-08 01:00:00,1.14,1.62,42.07
SIE.DE,SIEGY,2023-11-16 01:00:00,1.1,1.27,15.73
SIE.DE,SIEGY,2023-08-10 03:00:00,1.28,0.91,-28.83
SIE.DE,SIEGY,2023-05-17 15:00:00,1.08,4.82,345.25
SIE.DE,SIEGY,2023-02-08 23:00:00,1.04,2.04,95.57
SIE.DE,SIEGY,2022-11-17 01:00:00,1.65,1.77,7.38
SIE.DE,SIEGY,2022-08-11 01:00:00,1.27,-1.0,-178.76
SIE.DE,SIEGY,2022-05-12 01:00:00,1.12,1.39,23.99
SIE.DE,SIEGY,2022-02-10 01:00:00,1.11,2.39,115.2
SIE.DE,SIEGY,2021-11-11 04:00:00,0.93,1.64,75.75
SIE.DE,SIEGY,2021-08-05 01:00:00,0.88,2.0,126.39
SIE.DE,SIEGY,2021-05-07 02:00:00,1.18,2.31,96.43
SIE.DE,SIEGY,2021-02-03 03:00:00,0.9,2.07,130.35
SIE.DE,SIEGY,2020-11-11 20:00:00,1.53,1.55,1.36
SIE.DE,SIEGY,2014-01-28 01:00:00,1.07,1.1,2.8
ALV.DE,ALIZY,2026-08-07 16:00:00,0.79,nan,nan
ALV.DE,ALIZY,2026-02-26 01:00:00,0.74,0.85,13.93
ALV.DE,ALIZY,2025-11-14 01:00:00,0.78,0.87,11.32
ALV.DE,ALIZY,2025-08-07 01:00:00,0.78,0.82,5.0
ALV.DE,ALIZY,2025-05-15 00:00:00,0.77,0.74,-4.68
ALV.DE,ALIZY,2025-02-28 01:00:00,0.64,0.66,3.25
ALV.DE,ALIZY,2024-11-13 01:00:00,0.65,0.69,6.07
ALV.DE,ALIZY,2024-08-08 10:00:00,0.64,0.67,4.97
ALV.DE,ALIZY,2024-05-14 20:00:00,0.66,0.7,6.31
ALV.DE,ALIZY,2024-02-23 04:00:00,0.62,0.59,-4.55
ALV.DE,ALIZY,2023-11-10 03:00:00,0.62,0.56,-9.85
ALV.DE,ALIZY,2023-08-10 01:00:00,0.68,0.66,-3.77
ALV.DE,ALIZY,2023-05-12 01:00:00,0.65,0.59,-8.47
ALV.DE,ALIZY,2023-02-16 19:00:00,0.51,0.53,3.96
ALV.DE,ALIZY,2022-11-09 19:00:00,0.52,0.61,17.84
ALV.DE,ALIZY,2022-08-05 00:00:00,0.46,0.39,-15.18
INGA.AS,ING,2026-10-29 08:00:00,0.72,nan,nan
INGA.AS,ING,2026-07-29 21:00:00,0.74,0.77,4.0
INGA.AS,ING,2026-04-30 00:00:00,0.6,0.63,5.99
INGA.AS,ING,2026-01-28 19:00:00,0.48,0.57,18.44
INGA.AS,ING,2025-10-29 20:00:00,0.65,0.7,7.49
INGA.AS,ING,2025-07-31 06:00:00,0.61,0.64,6.19
INGA.AS,ING,2025-05-02 00:00:00,0.57,0.53,-7.29
INGA.AS,ING,2023-05-11 04:00:00,0.35,0.48,37.43
INGA.AS,ING,2023-02-02 07:00:00,0.28,0.33,17.59
INGA.AS,ING,2022-11-03 02:00:00,0.35,0.25,-26.67
INGA.AS,ING,2022-08-03 20:00:00,0.33,0.33,0.27
INGA.AS,ING,2022-05-06 04:00:00,-0.14,0.12,181.31
INGA.AS,ING,2014-02-12 00:00:00,0.28,0.14,-48.61
INGA.AS,ING,2013-11-06 00:00:00,0.32,0.31,-2.18
INGA.AS,ING,2013-08-07 00:00:00,0.24,0.33,39.42
INGA.AS,ING,2013-05-08 14:00:00,0.24,0.28,15.35
INGA.AS,ING,2013-02-13 01:00:00,0.47,0.13,-71.71
INGA.AS,ING,2012-11-07 01:00:00,0.36,0.24,-32.64
INGA.AS,ING,2012-08-08 01:00:00,0.44,0.34,-21.92
INGA.AS,ING,2012-05-09 19:00:00,0.47,0.25,-47.67
INGA.AS,ING,2012-02-09 10:00:00,0.32,-0.18,-156.06
INGA.AS,ING,2011-11-03 00:00:00,0.52,0.47,-9.92
INGA.AS,ING,2011-08-04 01:00:00,0.52,0.58,11.64
INGA.AS,ING,2008-11-12 01:00:00,0.68,-0.18,-125.92
INGA.AS,ING,2008-08-13 01:00:00,1.25,1.42,12.92
